級別,單字,中文
2,membership,會員資格
2,memory,記憶
2,mention,提到
2,message,訊息
2,metal,金屬
2,meter,儀表
2,method,方法
2,midnight,午夜
2,mile,英哩
2,military,軍隊
2,minor,次要的
2,minority,少數民族
2,mirror,鏡子
2,mix,混合
2,mixture,混合物
2,model,模型
2,mood,情緒
2,mop,拖把
2,motion,運動
2,motorcycle,摩托車
2,mug,馬克杯
2,musical,音樂
2,musician,音樂家
2,nail,指甲
2,narrow,狹窄的
2,nation,國家
2,natural,自然的
2,naughty,淘氣
2,nearby,附近
2,nearly,幾乎
2,necessary,必要的
2,necklace,項鍊
2,needle,針
2,negative,消極的
2,neighbor,鄰居
2,neither,兩者都不
2,nephew,姪子
2,nerve,神經
2,nervous,緊張的
2,network,網路
2,niece,姪女
2,nod,點點頭
2,none,沒有任何
2,noodle,麵條
2,nor,也不
2,northern,北方
2,notebook,筆記本
2,novel,小說
2,nut,堅果
2,obey,服從
2,object,目的
2,obvious,明顯的
2,occur,發生
2,ocean,海洋
2,offer,提供
2,official,官方的
2,operate,操作
2,operator,操作員
2,opinion,觀點
2,ordinary,普通的
2,organ,器官
2,organization,組織
2,origin,起源
2,owner,擁有者
2,pain,疼痛
2,painful,痛苦
2,painting,繪畫
2,pajamas,睡衣
2,pale,蒼白
2,pan,平底鍋
2,panda,貓熊
2,papaya,木瓜
2,pardon,赦免
2,participate,參加
2,particular,特別的
2,partner,夥伴
2,password,密碼
2,paste,貼上
2,path,小路
2,patient,病人
2,pattern,圖案
2,peace,和平
2,peaceful,和平
2,peach,桃
2,peak,頂峰
2,pear,梨
2,per,每
2,perfect,完美的
2,period,時期
2,personal,個人的
2,personality,性格
2,phrase,短語
2,pillow,枕頭
2,pizza,披薩
2,plain,清楚的
2,platform,平台
2,playground,操場
2,pleasant,令人愉快的
2,plus,加
2,poem,詩
2,poet,詩人
2,poetry,詩
2,poison,毒
2,policeman/cop,警察/警察
2,policy,政策
2,pop,流行音樂
2,population,人口
2,pork,豬肉
2,port,港口
2,pose,姿勢
2,position,位置
2,positive,積極的
2,possibility,可能性
2,post,郵政
2,postcard,明信片
2,pound,磅
2,powerful,強大的
2,praise,稱讚
2,pray,祈禱
2,prayer,禱告
2,prefer,更喜歡
2,president,總統
2,press,按
2,pressure,壓力
2,pride,自豪
2,priest,牧師
2,primary,基本的
2,prince/princess,王子/公主
2,principal,主要的
2,principle,原則
2,print,列印
2,printer,印表機
2,prison,監獄
2,prisoner,囚犯
2,private,私人的
2,prize,獎
2,produce,生產
2,production,生產
2,progress,進步
2,project,專案
2,promise,承諾
2,proper,恰當的
2,propose,提出
2,protect,保護
2,protective,保護的
2,prove,證明
2,provide,提供
2,pudding,布丁
2,pumpkin,南瓜
2,punish(ment),懲罰）
2,pupil,瞳孔
2,puppy,小狗
2,purple,紫色的
2,purpose,目的
2,puzzle,謎
2,quality,品質
2,quantity,數量
2,quiz,測驗
2,railroad/railway,鐵路/鐵路
2,raincoat,雨衣
2,range,範圍
2,rapid,迅速的
2,rare,稀有的
2,rat,鼠
2,rather,相當
2,reality,現實
2,realize,意識到
2,receive,收到
2,recent,最近的
2,record,記錄
2,recover,恢復
2,refrigerator/fridge,冰箱/冰箱
2,refuse,拒絕
2,regard,看待
2,region,地區
2,regular,常規的
2,reject,拒絕
2,relate,涉及
2,relation,關係
2,relationship,關係
2,religion,宗教
2,remove,消除
2,rent,租
2,repair,維修
2,reply,回覆
2,require(ment),要求）
2,respect,尊重
2,respond,回應
2,responsible,負責任的
2,restroom,廁所
2,result,結果
2,return,返回
2,review,審查
2,riches,財富
2,rocky,岩石的
2,role,角色
2,roof,屋頂
2,rooster,公雞
2,royal,皇家的
2,rub,擦
2,rubber,橡皮
2,rude,粗魯的
2,runner,跑者
2,safety,安全
2,sail,帆
2,sailor,水手
2,salesperson/salesman/saleswoman,推銷員/推銷員/女推銷員
2,salty,鹹
2,sample,樣本
2,sand,沙
2,sandwich,三明治
2,satisfy,滿足
2,saw,鋸
2,scare,嚇
2,scared,害怕的
2,scene,場景
2,schedule,行程
2,scooter,小型摩托車
2,score,分數
2,screen,螢幕
2,seafood,海鮮
2,search,搜尋
2,secondary,中學
2,secret,秘密
2,section,部分
2,seek,尋找
2,seem,似乎
2,seesaw,蹺蹺板
2,seldom,很少
2,select,選擇
2,selection,選擇
2,self,自己
2,selfish,自私
2,sense,感覺
2,sensitive,敏感的
2,separate,分離
2,servant,僕人
2,serve,服務
2,settle(ment),沉降）
2,sex,性別
2,shame,恥辱
2,shark,鯊魚
2,sheet,床單
2,shelf,架子
2,shell,殼
2,shine,閃耀
2,shock,震驚
2,shoot,射擊
2,shopkeeper,店主
2,shore,支撐
2,shot,射擊
2,shut,關閉
2,shy,害羞的
2,sidewalk,人行道
2,silence,沉默
2,silent,沉默的
2,silly,愚蠢的
2,silver,銀
2,similar,相似的
2,simply,簡單地
2,single,單身的
2,skill,技能
2,skilled,熟練
2,skin,皮膚
2,sleepy,睏
2,slide,滑動
2,slip,滑
2,slipper(s),拖鞋）
2,smooth,光滑的
2,snack,小吃
2,snail,蝸牛
2,snowy,下雪的
2,soap,肥皂
2,soccer,足球
2,social,社會的
2,society,社會
2,sock(s),襪子）
2,soda,蘇打
2,soft,柔軟的
2,soil,土壤
2,solution,解決方案
2,solve,解決
2,somewhat,有些
2,sort,種類
2,soul,靈魂
2,sour,酸的
2,source,來源
2,southern,南部
2,soybean,大豆
2,speaker,揚聲器
2,speech,演講
2,speed,速度
2,spelling,拼字
2,spider,蜘蛛
2,spirit,精神
2,spoon,湯匙
2,sport,運動
2,spot,點
2,spread,傳播
2,stage,階段
2,stamp,郵票
2,standard,標準
2,state(ment),陳述）
2,steak,牛排
2,steel,鋼
2,step,步
2,stick,戳
2,stomachache,腹痛
2,stone,結石
2,storm,風暴
2,stranger,陌生人
2,strawberry,草莓
2,stream,溪流
2,stress,壓力
2,stretch,拉緊
2,strict,嚴格的
2,strike,罷工
2,struggle,鬥爭
2,style,風格
2,subway/underground/metro,地鐵/地鐵/地鐵
2,succeed,成功
2,success,成功
2,such,這樣的
2,sudden,突然的
2,suggest,建議
2,suit,套裝
2,suitable,合適的
2,super,極佳的
2,supper,晚餐
2,supply,供應
2,support,支援
2,suppose,認為
2,surf,衝浪
2,surface,表面
2,survival,生存
2,survive,存活
2,swallow,吞
2,sweater,毛衣
2,sweep,掃
2,swim,游泳
2,swimsuit,泳裝
2,swing,搖擺
2,switch,轉變
2,symbol,象徵
2,system,系統
2,tale,故事
2,target,目標
2,task,任務
2,tax,稅
2,teapot,茶壺
2,tear,撕
2,technology,科技
2,teens,青少年
2,temperature,溫度
2,term,學期
2,terrorism,恐怖主義
2,terrorist,恐怖分子
2,text,文字
2,textbook,教科書
2,therefore,所以
2,thief,賊
2,thirsty,渴
2,thought,想法
2,throughout,自始至終
2,thunder,雷
2,thus,因此
2,till,直到
2,tiny,微小的
2,tire,胎
2,tissue,組織
2,title,標題
2,toast,吐司
2,tofu,豆腐
2,tone,語氣
2,tongue,舌頭
2,toothache,牙痛
2,toothbrush,牙刷
2,tour,旅遊
2,toward/towards,朝向/朝向
2,track,追蹤
2,trade,貿易
2,tradition,傳統
2,traditional,傳統的
2,trap,陷阱
2,trash,垃圾
2,travel,旅行
2,treasure,寶藏
2,trial,審判
2,triangle,三角形
2,trick,詭計
2,true,真的
2,trust,相信
2,truth,真相
2,tube,管子
2,turtle,龜
2,typhoon,颱風
2,typical,典型的
2,ugly,醜陋的
2,umbrella,傘
2,unit,單元
2,universe,宇宙
2,university,大學
2,unless,除非
2,upload,上傳
2,upon,之上
2,upper,上
2,upset,沮喪的
2,upstairs,樓上
2,used,用過的
2,user,使用者
2,usual,通常
2,vacation,假期
2,valley,谷
2,valuable,有價值的
2,value,價值
2,victory,勝利
2,view,看法
2,village,村莊
2,vote,投票
2,waist,腰部
2,waiter/waitress,服務生/女服務員
2,wallet,錢包
2,war,戰爭
2,wash,洗
2,waste,浪費
2,watermelon,西瓜
2,wealth,財富
2,wedding,婚禮
2,weekday,工作日
2,weigh,稱重
2,weight,重量
2,western,西
2,whale,鯨
2,whatever,任何
2,wheel,車輪
2,whenever,每當
2,wherever,無論在哪裡
2,whisper,耳語
2,whoever,誰
2,whole,所有的
2,whom,誰
2,width,寬度
2,wild,荒野
2,willing,願意的
2,windy,有風的
2,wine,葡萄酒
2,wing,翼
2,wire,金屬絲
2,within,之內
2,wolf,狼
2,wonder,想知道
2,wood(s),木材
2,wooden,木製的
2,wool,羊毛
2,workbook,作業簿
2,worm,蠕蟲
2,worse,更糟
2,worst,最糟糕的
2,worth,值得
2,wound,傷口
2,yam,薯
2,youth,青年
2,zebra,斑馬
3,aboard,船上
3,acceptable,可以接受
3,accurate,準確的
3,ache,疼痛
3,achieve(ment),成就）
3,additional adj. admire,額外的形容詞欽佩
3,advanced,先進的
3,advantage,優勢
3,adventure,冒險
3,advertise(ment)/ad,廣告（廣告）/廣告
3,advise,建議
3,adviser/advisor,顧問/顧問
3,afford,買得起
3,afterward/afterwards,之後/之後
3,agriculture,農業
3,airline,航空
3,alley,胡同
3,almond,杏仁
3,alphabet,字母
3,amaze(ment),驚愕）
3,ambassador,大使
3,ambition,志向
3,ambulance,救護車
3,angel,天使
3,announce(ment),公告）
3,anxious,焦慮的
3,anyhow,無論如何
3,apart,分開
3,apologize,道歉
3,appeal,上訴
3,approve,核准
3,apron,圍裙
3,armed,武裝的
3,arrest,逮捕
3,ash,灰
3,aside,放在一邊
3,assist,協助
3,assistant,助理
3,assume,認為
3,athlete,運動員
3,attitude,態度
3,attract,吸引
3,attractive,吸引人的
3,audience,觀眾
3,automatic,自動的
3,automobile/auto,汽車/汽車
3,avenue,大街
3,awake,醒
3,awaken,喚醒
3,award,獎
3,aware,意識到的
3,awful,可怕
3,awkward,尷尬的
3,background,背景
3,bacon,培根
3,bacteria,細菌
3,badly,嚴重地
3,baggage,行李
3,bait,餌
3,bamboo,竹子
3,bang,砰
3,banker,銀行家
3,bare,裸
3,barely,僅僅
3,barn,穀倉
3,barrel,桶
3,basement,地下室
3,bay,灣
3,bead,珠
3,beam,光束
3,beast,獸
3,beetle,甲蟲
3,beneath,下面
3,benefit,益處
3,berry,莓果
3,besides,除了
3,bet,賭注
3,bind,綁定
3,bitter,苦的
3,bleed,流血
3,bless,保佑
3,bloody,血腥
3,blouse,女式襯衫
3,bold,大膽的
3,bomb,炸彈
3,bookcase,書櫃
3,boot,啟動
3,bore,鑽孔
3,bowling,保齡球
3,brake,煞車
3,brass,黃銅
3,bravery,勇敢
3,breast,胸部
3,breath,氣息
3,breathe,呼吸
3,breeze,微風
3,brick,磚
3,bride,新娘
3,broadcast,pod送
3,brunch,早午餐
3,bubble,氣泡
3,bucket,桶
3,bud,芽
3,budget,預算
3,buffalo,水牛
3,buffet,自助餐
3,bulb,電燈泡
3,bull,公牛
3,bullet,子彈
3,bump,撞
3,bunch,束
3,bundle,捆
3,bury,埋葬
3,bush,襯套
3,buzz,嗡嗡聲
3,cabin,艙
3,cable,電纜
3,cafeteria,自助餐廳
3,campus,校園
3,canyon,峽谷
3,capable,有能力的
3,captain,隊長
3,capture,捕獲
3,career,職業
3,carpenter,木匠
3,carpet,地毯
3,carriage,運輸
3,cart,大車
3,cast,投擲
3,casual,隨意的
3,cattle,牛
3,cave,洞穴
3,champion,冠軍
3,charm,魅力
3,chat,聊天
3,cheek,臉頰
3,cheerful,快樂
3,cherry,櫻桃
3,chest,胸部
3,chill,寒意
3,chilly,寒冷
3,chimney,煙囪
3,chin,下巴
3,chip,晶片
3,chop,劈
3,cigarette,捲菸
3,cinema,電影
3,circus,馬戲團
3,citizen,國民
3,civil,民事的
3,clay,黏土
3,cleaner,清潔工
3,client,客戶
3,clinic,診所
3,clip,夾子
3,closet,衣櫥
3,clothe,衣服
3,clown,小丑
3,clue,線索
3,coach,教練
3,cock,公雞
3,cocktail,雞尾酒
3,coconut,椰子
3,collar,衣領
3,collection,收藏
3,colony,殖民地
3,colorful,豐富多彩的
3,column,柱子
3,comfort,舒適
3,comma,逗號
3,committee,委員會
3,communicate,交流
3,comparison,比較
3,compete,競爭
3,complain,抱怨
3,complaint,抱怨
3,concert,音樂會
3,conclusion,結論
3,cone,錐體
3,confirm,確認
3,confuse,迷惑
3,connect,連接
3,conscious,有意識的
3,considerable,大量
3,constant,持續的
3,continent,大陸
3,controller,控制器
3,cooker,炊具
3,costly,昂貴
3,cotton,棉布
3,cough,咳嗽
3,countable,可數的
3,county,縣
3,crab,螃蟹
3,cradle,搖籃
3,crane,起重機
3,crash,碰撞
3,crawl,爬行
3,creative,有創造力的
3,creator,創造者
3,creature,生物
3,credit,信用
3,crew,全體人員
3,cricket,蟋蟀
3,criminal,刑事
3,crispy,脆的
3,crop,莊稼
3,crown,王冠
3,cruel,殘忍的
3,cupboard,櫥櫃
3,dairy,乳製品
3,dam,壩
3,dare,敢
3,darling,親愛的
3,dash,短跑
3,database,資料庫
3,dawn,黎明
3,dealer,經銷商
3,decade,十年
3,deck,甲板
3,decorate,裝飾
3,decrease,減少
3,deed,契據
3,deepen,深化
3,definition,定義
3,democracy,民主
3,democratic,民主的
3,deposit,訂金
3,designer,設計師
3,desirable,理想的
3,desire,慾望
3,dessert,甜點
3,destroy,破壞
3,detect,探測
3,determine,決定
3,devil,魔鬼
3,dim,暗淡
3,dime,一毛錢
3,dine,吃飯
3,dinosaur,恐龍
3,dip,沾
3,dirt,污垢
3,discount,折扣
3,dishonest,不誠實
3,disk/disc,磁碟/磁碟
3,dislike,不喜歡
3,ditch,溝
3,dive,潛水
3,dizzy,暈眩的
3,dock,碼頭
3,dolphin,海豚
3,donkey,驢
3,dose,劑量
3,doubtful,疑
3,doughnut,油炸圈餅
3,downtown,市中心
3,drag,拖
3,dragonfly,蜻蜓
3,drain,流走
3,dramatic,戲劇性
3,drip,滴
3,drown,淹死
3,drugstore,藥局
3,drunk,醉
3,dumb,啞的
3,dump,傾倒
3,dumpling,餃子
3,dust,灰塵
3,eager,渴望的
3,echo,迴音
3,edit,編輯
3,editor,編輯
3,educate,教育
3,educational,教育性的
3,efficient,高效率的
3,elbow,彎頭
3,elderly,老年
3,elect,選
3,election,選舉
3,electricity,電
3,electronic,電子的
3,element,元素
3,elevator,電梯
3,emergency,緊急狀況
3,emotional,情緒化的
3,emperor,皇帝
3,enable,使能夠
3,energetic,精力充沛
3,engage(ment),訂婚）
3,enjoyable,令人愉快的
3,entry,入口
3,envy,嫉妒
3,erase,擦除
3,excellence,卓越
3,exchange,交換
3,exhibition,展覽
3,expectation,期待
3,experiment,實驗
3,explode,霹靂
3,explore,探索
3,export,出口
3,expressive,富有表現力的
3,extreme,極端
3,fade,褪色
3,faint,頭暈的
3,fairly,相當
3,fairy,仙女
3,faith,信仰
3,fake,偽造的
3,familiar,熟悉的
3,fancy,想要
3,fare,票價
3,farther,更遠
3,fashionable,時髦
3,faucet,龍頭
3,fearful,可怕
3,feather,羽毛
3,fence,柵欄
3,fighter,戰鬥機
3,firework,焰火
3,fist,拳頭
3,flame,火焰
3,flash,閃光
3,flashlight,手電筒
3,flavor,味道
3,flesh,肉
3,float,漂浮
3,flock,群
3,flood,洪水
3,flour,麵粉
3,flute,長笛
3,foggy,有霧的
3,fold,折疊
3,follower,追隨者
3,fond,喜歡
3,forever,永遠
3,fortune,財富
3,fountain,噴泉
3,frank,坦白
3,freeze,凍結
3,freezer,冰箱
3,frequent,經常的
3,fright,驚嚇
3,frighten,嚇唬
3,fuel,燃料
3,fund,基金
3,fur,皮草
3,gallon,加侖
3,gamble,賭博
3,gang,幫派
3,gap,差距
3,garage,車庫
3,gasoline/gas,汽油/天然氣
3,geography,地理
3,gesture,手勢
3,glance,一眼
3,global,全球的
3,glory,榮耀
3,glow,輝光
3,golf,高爾夫球
3,gossip,閒話
3,governor,州長
3,grab,抓住
3,graduate,畢業
3,grasp,抓牢
3,grasshopper,蚱蜢
3,grassy,長滿青草的
3,greedy,貪婪的
3,greenhouse,溫室
3,grin,咧嘴笑
3,grocery,雜貨店
3,guidance,指導
3,gum,膠
3,hairdresser,理髮師
3,hallway,門廳
3,hammer,槌
3,handful,少數
3,handkerchief,手帕
3,handy,便利
3,hanger,衣架
3,harbor,港口
3,harm,傷害
3,harmful,有害
3,harvest,收成
3,hasty,倉促的
3,hatch,孵化
3,hateful,可惡
3,hay,乾草
3,headline,標題
3,headquarters,總部
3,heal,癒合
3,heap,堆疊
3,heater,加熱器
3,heel,腳跟
3,hell,地獄
3,helmet,頭盔
3,hesitate,猶豫
3,hint,暗示
3,hire,聘請
3,historian,歷史學家
3,historic,歷史性
3,holder,持有者
3,hollow,空洞的
3,holy,聖
3,homesick,想家
3,hometown,家鄉
3,honesty,誠實
3,honor,榮譽
3,hopeful,充滿希望的
3,horn,喇叭
3,horrible,可怕
3,horror,恐怖
3,hourly,每小時
3,housekeeper,管家
3,hug,擁抱
3,hum,哼
3,humid,濕
3,humor,幽默
3,humorous,幽默
3,hunger,飢餓
3,hut,小屋
3,icy,冰冷的
3,imagination,想像力
3,immediate,即時
3,import,進口
3,impress,留下深刻印象
3,indoor,室內的
3,indoors,室內
3,industrial,工業的
3,inferior,下
3,inform,通知
3,information,資訊
3,injury,受傷
3,inn,客棧
3,inner,內
3,innocent,清白的
3,inspect,檢查
3,inspector,檢驗員
3,intelligent,聰明的
3,interrupt,打斷
3,invent,發明
3,inventor,發明者
3,investigate,調查
3,invitation,邀請函
3,ivory,象牙
3,jail,監獄
3,jar,罐
3,jaw,顎
3,jazz,爵士樂
3,jealous,嫉妒的
3,jeep,吉普車
3,jelly,果凍
3,jet,噴射
3,jewel,寶石
3,jewelry,珠寶
3,journey,旅行
3,joyful,快樂
3,juicy,多汁的
3,jungle,叢林
3,junior,初級
3,junk,垃圾
3,kangaroo,袋鼠
3,keyboard,鍵盤
3,kidney,腎
3,kilometer,公里
3,kindergarten,幼稚園
3,kingdom,王國
3,kit,成套工具
3,knight,騎士
3,knit,針織
3,knot,結
3,koala,無尾熊
3,label,標籤
3,lace,蕾絲
3,ladder,梯子
3,lately,最近
3,laughter,笑聲
3,laundry,洗衣店
3,lawn,草地
3,leak,洩漏
3,leap,飛躍
3,learning,學習
3,leather,皮革
3,leisure,閒暇
3,lemonade,檸檬水
3,leopard,豹
3,lettuce,萵苣
3,liberty,自由
3,lick,舔
3,lifetime,壽命
3,lighthouse,燈塔
3,lightning,閃電
3,lily,百合
3,limb,肢體
3,litter,垃圾
3,lively,熱鬧
3,loaf,麵包
3,lobby,大堂
3,locate,定位
3,location,地點
3,lock,鎖
3,log,紀錄
3,lollipop,棒糖
3,loose,鬆動的
3,lord,主
3,loser,失敗者
3,lover,情人
3,luggage,行李
3,lung,肺
3,magical,神奇
3,magician,魔術師
3,magnet,磁鐵
3,maid,女傭
3,majority,多數
3,mall,購物中心
3,mankind/humankind,人類/人類
3,marble,大理石
3,march,行進
3,marker,標記
3,marvelous,奇妙
3,mathematical,數學的
3,mayor,市長
3,meadow,草地
3,meaningful,有意義的
3,meanwhile,同時
3,medal,勳章
3,medium/media,媒體/媒體
3,melon,瓜
3,melt,融化
3,mend,修補
3,mental,精神的
3,merry,快樂的
3,mess,混亂
3,microphone/mike,麥克風/麥克風
3,microwave,微波
3,mighty,強大的
3,minus,減
3,miracle,奇蹟
3,misery,苦難
3,missile,飛彈
3,missing,遺失的
3,mission,使命
3,mist,薄霧
3,mob,暴民
3,mobile,移動的
3,moist,潮濕
3,moisture,水分
3,monk,僧侶
3,monster,怪物
3,monthly,每月
3,moral,道德
3,mosquito,蚊子
3,mostly,大多
3,motel,汽車旅館
3,moth,蛾
3,motor,引擎
3,multiply,乘
3,murder,謀殺
3,muscle,肌肉
3,mushroom,菇
3,mystery,神秘
3,naked,裸
3,nap,打盹
3,napkin,餐巾
3,native,本國的
3,navy,海軍
3,neat,整潔的
3,necessity,必要性
3,necktie,領帶
3,neighborhood,鄰裡
3,nest,巢
3,nickname,暱稱
3,normal,普通的
3,novelist,小說家
3,nun,尼姑
3,oak,橡木
3,observe,觀察
3,occasion,場合
3,odd,奇怪的
3,omit,忽略
3,ongoing,正在進行的
3,onion,洋蔥
3,onto,到
3,operation,手術
3,opportunity,機會
3,opposite,對面的
3,optimistic,樂觀的
3,oral,口服
3,organic,有機的
3,organize,組織
3,original,原來的
3,outdoor,戶外的
3,outdoors,戶外
3,outer,外
3,outline,大綱
3,oven,烤箱
3,overseas,海外
3,owe,欠
3,owl,貓頭鷹
3,ownership,所有權
3,ox,牛
3,pad,軟墊
3,painter,畫家
3,pal,朋友
3,palace,宮殿
3,palm,棕櫚
3,pancake,餅子
3,panic,恐慌
3,parade,遊行
3,paradise,天堂
3,parcel,包裹
3,parrot,鸚鵡
3,passage,頻道
3,passenger,乘客
3,passion,熱情
3,passport,護照
3,pat,拍
3,patience,耐心
3,pause,暫停
3,pave(ment),路面）
3,pea,豌豆
3,peanut,花生
3,pearl,珍珠
3,peel,果皮
3,penguin,企鵝
3,penny,一分錢
3,pepper,胡椒
3,perform,執行
3,performance,表現
3,permission,允許
3,permit,允許
3,persuade,說服
3,photographer,攝影師
3,pigeon,鴿子
3,pile,樁
3,pill,丸
3,pilot,飛行員
3,pine,松樹
3,pineapple,鳳梨
3,pint,品脫
3,pit,坑
3,pitch,瀝青
3,pity,遺憾
3,plastic,塑膠
3,playful,俏皮的
3,plenty,足夠
3,plug,插頭
3,pole,極
3,political,政治的
3,politician,政治家
3,politics,政治
3,poll,輪詢
3,pollute,污染
3,pollution,污染
3,porcelain,瓷
3,portion,部分
3,portrait,肖像
3,poster,海報
3,postpone(ment),推遲（延期）
3,pottery,陶器
3,pour,倒
3,poverty,貧窮
3,powder,粉末
3,practical,實際的
3,precious,寶貴的
3,preparation,準備
3,presence,在場
3,pretend,假裝
3,prevent,防止
3,previous,以前的
3,probable,可能
3,process,過程
3,producer,製片人
3,product,產品
3,professor,教授
3,profit,利潤
3,promote,推動
3,pronounce,發音
3,proof,證明
3,property,財產
3,protection,保護
3,pub,酒吧
3,pump,泵浦
3,punch,沖床
3,puppet,木偶
3,pure,純的
3,purse,錢包
3,queer,酷兒
3,quit,辭職
3,quote,引用
3,racial,種族
3,rag,抹布
3,rank,秩
3,rate,速度
3,raw,生的
3,ray,射線
3,razor,刮鬍刀
3,react,反應
3,reaction,反應
3,reasonable,合理的
3,receipt,收據
3,receiver,接收者
3,recognize,認出
3,recorder,錄音機
3,rectangle,長方形
3,reduce,減少
3,regional,區域性的
3,regret,後悔
3,relax,放鬆
3,release,發布
3,reliable,可靠的
3,relief,寬慰
3,religious,宗教的
3,rely,依靠
3,remain,保持
3,remind,提醒
3,remote,偏僻的
3,replace(ment),替代品）
3,represent,代表
3,representative,代表
3,republic,共和國
3,request,要求
3,reserve,預訂
3,resist,抵抗
3,resource,資源
3,response,回覆
3,responsibility,責任
3,restrict,限制
3,reveal,揭示
3,ribbon,絲帶
3,rid,擺脫
3,ripe,成熟
3,risk,風險
3,roar,吼
3,roast,烤
3,rob,搶
3,robbery,搶劫
3,robe,長袍
3,rocket,火箭
3,romantic,浪漫的
3,rot,腐爛
3,rotten,爛
3,rough,粗糙的
3,roughly,大致
3,routine,常規
3,rug,小地毯
3,rumor,謠言
3,rush,匆忙
3,rust,鏽
3,sack,解僱
3,sake,清酒
3,salary,薪水
3,satisfactory,滿意的
3,sauce,醬
3,saucer,碟子
3,sausage,香腸
3,saving(s),節省
3,scale(s),秤）
3,scarce,稀缺
3,scarf,圍巾
3,scary,可怕的
3,scatter,分散
3,scholar,學者
3,scholarship,獎學金
3,scientific,科學的
3,scientist,科學家
3,scissors,剪刀
3,scout,偵察
3,scream,尖叫
3,screw,擰緊
3,scrub,擦洗
3,seal,海豹
3,security,安全
3,semester,學期
3,senior,進階的
3,sensible,明智的
3,separation,分離
3,sexual,性的
3,sexy,性感的
3,shadow,陰影
3,shallow,淺的
3,shampoo,洗髮精
3,shepherd,牧羊人
3,shiny,閃亮的
3,shorten,縮短
3,shortly,不久
3,shovel,鏟
3,shrimp,蝦
3,shrink,收縮
3,sigh,嘆
3,signal,訊號
3,significant,重要的
3,silk,絲綢
3,similarity,相似
3,sin,罪
3,sincere,真誠
3,sink,下沉
3,sip,啜飲
3,situation,情況
3,skate,滑冰
3,ski,滑雪
3,skillful,熟練
3,skinny,瘦骨嶙峋的
3,skip,跳過
3,slave,奴隸
3,sleeve,袖子
3,slender,細長的
3,slice,片
3,slippery,滑
3,slope,坡
3,snap,折斷
3,solid,堅硬的
3,someday,有一天
3,somehow,不知何故
3,sometime,某個時候
3,sorrow,悲哀
3,spaghetti,義大利細麵條
3,specific,具體的
3,spice,香料
3,spill,灑
3,spin,旋轉
3,spinach,菠菜
3,spit,吐
3,spite,惡意
3,splash,濺
3,spoil,破壞
3,spray,噴
3,spy,間諜
3,squeeze,擠
3,squirrel,松鼠
3,stable,穩定的
3,stadium,體育場
3,staff,職員
3,stale,陳舊
3,stare,盯
3,starve,餓死
3,statue,雕像
3,steady,穩定的
3,steal,偷
3,steam,蒸氣
3,steep,陡
3,sticky,黏
3,stiff,僵硬的
3,sting,螫
3,stir,攪拌
3,stitch,縫
3,stomach,胃
3,stool,凳子
3,stormy,暴風雨的
3,stove,火爐
3,strategy,策略
3,straw,稻草
3,strength,力量
3,strip,條
3,structure,結構
3,stubborn,固執的
3,studio,工作室
3,stuff,東西
3,substance,物質
3,subtract,減去
3,suburb,市郊
3,suck,吸
3,suffer,遭受
3,sufficient,充足的
3,suicide,自殺
3,sum,和
3,summary,概括
3,summit,首腦
3,superior,優越的
3,surround,環繞
3,survey,民調
3,survivor,倖存者
3,suspect,懷疑
3,suspicion,懷疑
3,swan,天鵝
3,swear,發誓
3,sweat,汗
3,swell,膨脹
3,swift,迅速
3,sword,劍
3,tablet,藥片
3,tag,標籤
3,tailor,裁縫
3,talent,天賦
3,talkative,健談的
3,tame,馴服
3,tangerine,柑橘
3,tank,坦克
3,tap,輕敲
3,tasty,可口
3,tease,逗
3,technical,技術的
3,technique,科技
3,teenage,十幾歲的
3,temper,脾氣
3,temporary,暫時的
3,tend,趨向
3,tender,標
3,tent,帳篷
3,terrific,了不起
3,territory,領土
3,thankful,感恩的
3,theory,理論
3,thirst,口渴
3,thread,線
3,threat,威脅
3,threaten,威脅
3,thumb,大拇指
3,tide,潮
3,tight,緊的
3,tighten,收緊
3,timber,木材
3,tobacco,菸草
3,ton,噸
3,toss,折騰
3,tough,艱難的
3,tourism,旅遊
3,tourist,遊客
3,tow,拖
3,tower,塔
3,trace,痕跡
3,trader,商
3,trail,蹤跡
3,transport,運輸
3,traveler,遊客
3,tray,托盤
3,trend,趨勢
3,tribe,部落
3,tricky,棘手的
3,troop,部隊
3,tropical,熱帶
3,trumpet,喇叭
3,trunk,樹幹
3,truthful,真實
3,tub,浴缸
3,tug,拖船
3,tune,調
3,tunnel,隧道
3,tutor,導師
3,twin,雙
3,twist,捻
3,underlying,潛在的
3,underwear,內衣
3,union,聯盟
3,unique,獨特的
3,unite,團結
3,unity,統一
3,urban,城市的
3,vacant,空缺
3,van,貨車
3,vanish,消失
3,variety,種類
3,various,各種各樣的
3,vary,各不相同
3,vase,花瓶
3,vehicle,車輛
3,verse,詩
3,vest,背心
3,victim,受害者
3,violence,暴力
3,violent,暴力
3,violet,紫色
3,visible,可見的
3,vision,想像
3,vitamin,維他命
3,vivid,生動
3,vocabulary,詞彙
3,volleyball,排球
3,volume,體積
3,voter,選民
3,wage(s),薪資
3,wagon,車皮
3,wander,漫步
3,warmth,溫暖
3,warn,警告
3,waterfall,瀑布
3,wax,蠟
3,weaken,削弱
3,wealthy,富裕
3,weapon,武器
3,weave,編織
3,web,網路
3,wed,結婚
3,weed,雜草
